antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'office_furniture', 'bed_bath_table'})",frozenset({'furniture_decor'}),5.2917332543101164e-05,0.06625250034396266,1.0583466508620234e-05,0.2,3.018753993610224,1.0,7.077560916106838e-06,1.1671843745700465,0.6687728879574947,0.00015964240102171138,0.1432373309757784,0.10007987220447286
"frozenset({'office_furniture', 'furniture_decor'})",frozenset({'bed_bath_table'}),4.2333866034480934e-05,0.09712447214960788,1.0583466508620234e-05,0.25,2.574016563146998,1.0,6.471812115969059e-06,1.2038340371338563,0.611527999745986,0.00010893246187363833,0.16932071269487747,0.1250544840361774
"frozenset({'bed_bath_table', 'furniture_decor'})",frozenset({'office_furniture'}),0.0007302591890947961,0.01316583233672357,1.0583466508620234e-05,0.014492753623188408,1.1007852183233144,1.0,9.689964626464357e-07,1.0013464348347951,0.09162447838335923,0.0007621951219512195,0.001344624385682605,0.007648306072044365
frozenset({'office_furniture'}),"frozenset({'bed_bath_table', 'furniture_decor'})",0.01316583233672357,0.0007302591890947961,1.0583466508620234e-05,0.0008038585209003216,1.1007852183233144,1.0,9.689964626464357e-07,1.000073658542853,0.0927790826120997,0.0007621951219512195,7.365311767151069e-05,0.007648306072044365
frozenset({'bed_bath_table'}),"frozenset({'office_furniture', 'furniture_decor'})",0.09712447214960788,4.2333866034480934e-05,1.0583466508620234e-05,0.00010896807235480004,2.574016563146998,1.0,6.471812115969059e-06,1.0000666414681127,0.67728285077951,0.00010893246187363833,6.663702732330675e-05,0.1250544840361774
frozenset({'furniture_decor'}),"frozenset({'office_furniture', 'bed_bath_table'})",0.06625250034396266,5.2917332543101164e-05,1.0583466508620234e-05,0.0001597444089456869,3.0187539936102237,1.0,7.077560916106838e-06,1.0001068441441574,0.7161866548788921,0.00015964240102171138,0.00010683272970567006,0.10007987220447286
"frozenset({'market_place', 'bed_bath_table'})",frozenset({'perfumery'}),2.1166933017240467e-05,0.032575909913533076,1.0583466508620234e-05,0.5,15.348765432098768,1.0,9.89393440550482e-06,1.9348481801729338,0.9348679684606023,0.0003247807729782397,0.4831635834545832,0.25016244314489927
"frozenset({'market_place', 'perfumery'})",frozenset({'bed_bath_table'}),1.0583466508620234e-05,0.09712447214960788,1.0583466508620234e-05,1.0,10.296066252587991,1.0,9.55555291045744e-06,inf,0.9028850835044345,0.00010896807235480004,1.0,0.5000544840361774
"frozenset({'bed_bath_table', 'perfumery'})",frozenset({'market_place'}),1.0583466508620234e-05,0.0028787028903447037,1.0583466508620234e-05,1.0,347.37867647058823,1.0,1.0552999852992003e-05,inf,0.9971318502211968,0.003676470588235294,1.0,0.5018382352941176
frozenset({'market_place'}),"frozenset({'bed_bath_table', 'perfumery'})",0.0028787028903447037,1.0583466508620234e-05,1.0583466508620234e-05,0.003676470588235294,347.37867647058823,1.0,1.0552999852992003e-05,1.0036794143804784,1.0000000000000002,0.003676470588235294,0.0036659259199308706,0.5018382352941176
frozenset({'bed_bath_table'}),"frozenset({'market_place', 'perfumery'})",0.09712447214960788,1.0583466508620234e-05,1.0583466508620234e-05,0.00010896807235480004,10.296066252587991,1.0,9.55555291045744e-06,1.0000983953277953,1.0,0.00010896807235480004,9.83856471073809e-05,0.5000544840361774
frozenset({'perfumery'}),"frozenset({'market_place', 'bed_bath_table'})",0.032575909913533076,2.1166933017240467e-05,1.0583466508620234e-05,0.00032488628979857054,15.348765432098768,1.0,9.89393440550482e-06,1.0003038180631045,0.9663271669091665,0.0003247807729782397,0.0003037257857246921,0.25016244314489927
"frozenset({'cine_photo', 'cool_stuff'})",frozenset({'telephony'}),1.0583466508620234e-05,0.04306412522357573,1.0583466508620234e-05,1.0,23.22118456623249,1.0,1.0127698781593492e-05,inf,0.956946002582393,0.0002457606291472106,1.0,0.5001228803145736
"frozenset({'cine_photo', 'telephony'})",frozenset({'cool_stuff'}),1.0583466508620234e-05,0.03737022024193804,1.0583466508620234e-05,1.0,26.759274992919856,1.0,1.018796003426992e-05,inf,0.9626399678259212,0.00028320589068252624,1.0,0.5001416029453413
"frozenset({'cool_stuff', 'telephony'})",frozenset({'cine_photo'}),6.35007990517214e-05,0.0006667583900430747,1.0583466508620234e-05,0.16666666666666669,249.96560846560848,1.0,1.0541126818078059e-05,1.1991998899319485,0.9960627004371249,0.014705882352941178,0.16611066395549157,0.09126984126984128
frozenset({'cine_photo'}),"frozenset({'cool_stuff', 'telephony'})",0.0006667583900430747,6.35007990517214e-05,1.0583466508620234e-05,0.015873015873015872,249.96560846560848,1.0,1.0541126818078059e-05,1.0160645072525765,0.9966639837329492,0.014705882352941178,0.015810519054557538,0.09126984126984128
frozenset({'cool_stuff'}),"frozenset({'cine_photo', 'telephony'})",0.03737022024193804,1.0583466508620234e-05,1.0583466508620234e-05,0.00028320589068252624,26.759274992919856,1.0,1.018796003426992e-05,1.0002726996543223,1.0,0.00028320589068252624,0.00027262530949473846,0.5001416029453413
frozenset({'telephony'}),"frozenset({'cine_photo', 'cool_stuff'})",0.04306412522357573,1.0583466508620234e-05,1.0583466508620234e-05,0.0002457606291472106,23.221184566232488,1.0,1.0127698781593492e-05,1.0002352349741337,1.0,0.0002457606291472106,0.00023517965165455716,0.5001228803145736
"frozenset({'home_construction', 'cool_stuff'})",frozenset({'computers_accessories'}),1.0583466508620234e-05,0.06877136537301427,1.0583466508620234e-05,1.0,14.540935672514621,1.0,9.855627066442852e-06,inf,0.9312384903583599,0.00015389350569405973,1.0,0.5000769467528471
"frozenset({'home_construction', 'computers_accessories'})",frozenset({'cool_stuff'}),1.0583466508620234e-05,0.03737022024193804,1.0583466508620234e-05,1.0,26.759274992919856,1.0,1.018796003426992e-05,inf,0.9626399678259212,0.00028320589068252624,1.0,0.5001416029453413
"frozenset({'cool_stuff', 'computers_accessories'})",frozenset({'home_construction'}),5.2917332543101164e-05,0.005090647390646332,1.0583466508620234e-05,0.2,39.28773388773389,1.0,1.0314083027789732e-05,1.243636690761692,0.9745983361910205,0.002061855670103093,0.19590664425674958,0.10103950103950105
frozenset({'home_construction'}),"frozenset({'cool_stuff', 'computers_accessories'})",0.005090647390646332,5.2917332543101164e-05,1.0583466508620234e-05,0.002079002079002079,39.28773388773389,1.0,1.0314083027789732e-05,1.0020303057563473,0.9795332212837479,0.002061855670103093,0.002026191967133099,0.10103950103950105
frozenset({'cool_stuff'}),"frozenset({'home_construction', 'computers_accessories'})",0.03737022024193804,1.0583466508620234e-05,1.0583466508620234e-05,0.00028320589068252624,26.759274992919856,1.0,1.018796003426992e-05,1.0002726996543223,1.0,0.00028320589068252624,0.00027262530949473846,0.5001416029453413
frozenset({'computers_accessories'}),"frozenset({'home_construction', 'cool_stuff'})",0.06877136537301427,1.0583466508620234e-05,1.0583466508620234e-05,0.00015389350569405973,14.540935672514621,1.0,9.855627066442852e-06,1.0001433320970643,1.0,0.00015389350569405973,0.00014331155591849185,0.5000769467528471
"frozenset({'sports_leisure', 'computers_accessories'})",frozenset({'health_beauty'}),3.17503995258607e-05,0.09104956237365987,1.0583466508620234e-05,0.33333333333333337,3.6610097252896283,1.0,7.69260652660176e-06,1.3634256564395102,0.7268743914313536,0.00011621150493898897,0.2665533355068077,0.16672478592738968
"frozenset({'sports_leisure', 'health_beauty'})",frozenset({'computers_accessories'}),0.00014816853112068328,0.06877136537301427,1.0583466508620234e-05,0.07142857142857142,1.0386382623224728,1.0,3.9371431813688877e-07,1.0028616065213691,0.03720639759508016,0.0001535862386730149,0.002853441095721381,0.03579123246713274
"frozenset({'health_beauty', 'computers_accessories'})",frozenset({'sports_leisure'}),1.0583466508620234e-05,0.07922783028353107,1.0583466508620234e-05,1.0,12.621827411167512,1.0,9.744961420263834e-06,inf,0.9207819147810257,0.00013358268768367618,1.0,0.5000667913438418
frozenset({'sports_leisure'}),"frozenset({'health_beauty', 'computers_accessories'})",0.07922783028353107,1.0583466508620234e-05,1.0583466508620234e-05,0.00013358268768367618,12.62182741116751,1.0,9.744961420263834e-06,1.0001230156539367,1.0,0.00013358268768367618,0.00012300052294697108,0.5000667913438418
frozenset({'computers_accessories'}),"frozenset({'sports_leisure', 'health_beauty'})",0.06877136537301427,0.00014816853112068328,1.0583466508620234e-05,0.00015389350569405973,1.038638262322473,1.0,3.9371431813688877e-07,1.0000057258557453,0.03994817534009942,0.0001535862386730149,5.725822960153918e-06,0.03579123246713274
frozenset({'health_beauty'}),"frozenset({'sports_leisure', 'computers_accessories'})",0.09104956237365987,3.17503995258607e-05,1.0583466508620234e-05,0.0001162385214460072,3.661009725289628,1.0,7.69260652660176e-06,1.0000844979438361,0.799660006520423,0.00011621150493898897,8.449080453694681e-05,0.16672478592738968
"frozenset({'home_construction', 'furniture_decor'})",frozenset({'garden_tools'}),0.00013758506461206303,0.03628012319155016,1.0583466508620234e-05,0.07692307692307693,2.1202540166950903,1.0,5.591863415177198e-06,1.0440298665424872,0.528431102737261,0.00029069767441860465,0.04217299519246609,0.038607396104478955
